,Text
0,"One of the limitations of our work is that while we are running the MathPrompter multiple times in different ways to increase the accuracy of our results, this does not always guarantee the correctness of the output. Both Algebraic and Pythonic expressions have the potential to produce the incorrect results, even if the prompt outputs match each other. This is the fail case as shown in the last row of Table 2. Increasing the number of prompts will mitigate this issue. We are currently investigating techniques that can address this issue in a more principled manner."
1,"There are two main limitations to this study. First, because of the lack of downstream datasets, we did not evaluate KG-FLIP on other downstream VL tasks in e-commerce (e.g., substitute recommendation). Therefore, the robustness of the KG-FLIP model on other downstream tasks requires further investigation. Second, the experimental results empirically show that the proposed knowledge-guided pre-training objectives are more effective in producing VL representations that capture subtle distinctions between samples than the standard objectives. However, a theoretical analysis of the effectiveness of our knowledge-guidance strategies is lacking.
†https://aws.amazon.com/batch/ ‡https://aws.amazon.com/sagemaker/"
2,"While the xPQA dataset is created to be as close to the real-world scenario as possible, it has two major drawbacks. Firstly, the candidate set in the dataset does not include the full candidates for a given product because annotating all candidates is prohibitively expensive. The subjectivity of product questions and candidates also makes it hard to get ground-truth short-span answers, which prevents a straightforward end-to-end evaluation over the full candidate set. A potential fix is to run human evaluations on the top-1 candidate over the full candidate set from each model, but it’d be costly to do so. A more realistic solution is to have an online evaluation for the best model only, which we leave for future work. Secondly, the answer annotation is based only on a single candidate because handling information from multiple candidates requires careful instructions on conflicting information and summarization skills. This might limit the model in answering complex questions that require inference over multiple candidates. However, we find this case to be very rare in real customer questions. Furthermore, as we do not summarize multiple candidates, the returned answer can be biased toward the opinion of a single customer. Our evaluation also has potential limitations in that (1) We did not extensively evaluate the quality of generated answers with manual annotation. It is known that BLEU scores might not correlate well with human evaluations on generation tasks, and they can be misleading in certain cases; (2) We only compared major types of baseline algorithms and did not explore the effects of leveraging existing larger, more powerful pre-trained language models such as mT0 (Muennighoff et al., 2022) and FlanT5 (Chung et al., 2022). Conclusions might change if we hire annotators to perform more human evaluations or change the model architecture."
3,"Despite the promising results achieved by our approach, some limitations must be acknowledged. First, the use of product graphs as a knowledge source is a double-edged sword. Indeed, while it provides a valuable resource to exploit, the constant evolution of product graphs may create a strong coupling between the algorithm and the knowledge source, thus reducing the method’s robustness over time. Second, our method’s span-based approach makes it computationally expensive, requiring setting a maximum span size to circumvent this issue"
4,"The proposed KOSBI addresses social bias based on Korean culture with the Korean language. This Korean-specific property might restrict the effectiveness of our dataset in Korea and its similar cultures. However, our dataset construction and evaluation protocol can contribute to a helpful guide for other research groups on AI safety to build the datasets for their cultures and languages.
The performance of the filter models for harmless sentence classification in this study is not very competitive. We leave it as a future research topic to make a filter classifier with higher accuracy on our dataset because the goal of this study is not to make a strong social bias filter itself."
5,"An important limitation of our contribution lies in breadth of the experimental validation. We decided to focus our experimentation on the setup where we encountered the issue of redundant datasets: NER for a large-scale conversational assistant. While it is true that our approach does not make any assumption neither about the task nor about the model architecture, and while we also provide a rigorous proof to support the estimated gain in terms of training time, the extent to which our approach remains the best time-accuracy trade-off when other tasks are considered is not explored in this work.
An additional limitation stems from the lack of absolute results on the internal datasets, as the latter can only be disclosed as relative improvements over a baseline due to internal policy. We attempt to mitigate this by reporting full results on an open dataset, but as we mention we have to resort to upsampling given the artificial deduplication that manually curated datasets incur before publishing."
6,"In this section, we discuss some of the limitations of our current model architecture: (1) NonEnglish locales: Currently in our experiments, we have trained and evaluated models only on English datasets. Building models on non-English locales is the direction for future work, (2) Use of pretrained tokenizer: The T5’s tokenizer in our models has been pre-trained on open-domain datasets, and its vocabulary misses out on e-commerce specific terms. For example, the current tokenizer of T5 tokenizes the phrase “skater midi dress” as [“sk”, “a”, “ter”, “mid”, “I”, “dress”]. Here, the meaning of words “skater” and “midi” is not captured in the tokenized text. We believe that we can overcome this limitation by pre-training T5 on e-commerce data which would help tokenizer understanding and tokenizing the e-commerce specific terms more correctly."
7,"This study is based on a single clinical cohort consisted of 1479 patients, which may limit the generalizability of the results to other clinical cohorts. This specific cohort of patients may not be representative enough of the general population, which may inject certain level of bias brought by the dissimilar distributions of gender, age, race, etc. While we envision the generalization capability of the language models is applicable to other clinical prediction tasks, the focus of this work is majorly about prognostic prediction of cancer immunotherapy, and we hereby have not provided solid evidence to prove that the success can also be extended to other relevant trials. Additionally, we have yet only compared a limited set of transformers and language models, and it is possible that other models may perform better on the tasks evaluated in this study. Finally, it is important to note that while the models in this study achieve high accuracy in clinical prediction, the ultimate value of these models in improving patient outcomes will depend on how well they are integrated into clinical decision-making processes and the impact they have on patient care."
8,"The performance of the EvolveMT system is contingent upon the reliability of the COMET-QE model in providing accurate labels for the MT requests. Utilizing the encoder’s embeddings as features necessitates that the COMET-QE model performs effectively on blind MT requests. The batch reranking of MT requests after each learning step may result in a computational bottleneck if the queue size is substantial. To mitigate this issue, an asynchronous re-ranking process could be implemented, whereby the queue is only reorganized once the re-ranking is completed. Additionally, before the re-ranking process, a diverse subset of the queue can be selected based on the XLMRoBERTa embeddings, which reflect the novelty of the requests relative to previously processed MT requests. The source embeddings from the XLMRoBERTa model can be cached in parallel during the batch feature extraction process utilizing GPU capabilities, thus facilitating efficient COMET-QE inference. EvolveMT could also be optimized for cost-effectiveness by incorporating the cost of each MT in the ensemble into the algorithm."
9,"A major limitation of this research work is only item classification, one specific type of NLU tasks, is used in our experiments. To better evaluate our proposed KCL-FNC method, an expanded testing task set will provide more convincing power. In addition, we only used cross-entropy (CE) loss when training models, in both representation and classifier learning stages. It will be interesting to see the compound effect when applying our proposed method together with some advanced loss types, such as LDAM (Cao et al., 2019)."
10,"We acknowledge that there are certain limitations of this framework. First, generation-based models have latency issue due to the autoregressive generation. Thus, we will explore Non-autoregressive and semi-autoregressive methods in a future study. Second, the knowledge is only stored in model parameters which limits the capacity of the model to make the smarter trigger decision through factchecking and generate a valid rewrite. To this end, we intend to consider a retrieval-augmented generation to incorporate external knowledge to improve performance as well as incorporating more contextual (e.g. if the user is listening music) and personalized (e.g. user preference) signals into the model. Moreover, generative models can also pose quality control challenges, such as hallucinations. To mitigate this issue, we will add constrained decoding (Hao et al., 2022) to control hallucinations."
11,"There are a few limitations pertaining to the training data we used. Some of them are listed below.
1. RadLing has been trained on English reports only, and therefore will not work out of the box in a multilingual setting.
2. There is data imbalance with respect to imaging modalities and anatomies covered by our training data. For example, regions like extremities, neck, spine and shoulder are underrepresented in the dataset, and expected understanding of observations related to those regions may be limited.
3. There needs to be a study on the diversity of the patients and radiologist expertise represented in the data, and how it impacts the performance of the model for underrepresented communities.
4. Different radiologists (and radiology departments) have different preferences and styles of writing reports. In addition, clinical referrals sometimes dictate to what extent some details are documented the report e.g. the Clinical statement. There was no study on the consistency, uncertainty or information richness of the report.
Asides from the training data, there may be space and time throughputs of the model which could make them unsuitable for at-the-edge applications with limited bandwidth."
12,"• We use only the transcript as input to the model. This implies the model wouldn’t know that a hold was long unless the customer said “that was a long hold” or something to that effect. The transcript usually contains language indicating the hold is taking place “may i place you on hold?”, “thanks for holding”, etc, but rarely indicates the exact duration of the hold. Similarly, the model doesn’t know the wait time unless the customer complains explicitly about it.
5-w ay
Cl ass
ific ati
on
Bin ary
Ha rd
Lab els
Bin ary
So ft L
ab els
0.64
0.66
0.68
0.70
0.72
0.74
0.76
Cl as
s 1 P
re cis
io n
by using a small model as an initial gating function.
• If a call center doesn’t collect CSAT surveys through our company, their accuracy will be impacted as they won’t be reflected in the training or test set. We ensure customers understand this by training our agents to explain it and including it in help center documentation."
13,"This paper introduces two heuristic approaches to filter noisy feedback data. Although we showed that these simple methods improve the performance of QA models, they have various limitations and they represent only an initial step for future re-
search on real feedback data. The core of the relevance filtering is based on the assumption that correct feedback occur when the model and the user agree on the labels. This approach may introduce a selection bias towards tuples associated with ""simpler"" q/a pairs, which are already well understood by the model and thus potentially ineffective for training. Although the model can easily discard q/a pairs whose feedback are clearly different, the risk is that uncertain pairs close to the classification boundary (i.e., model score close to 0) are penalized and easily filtered as they will receive a reliability score close to 0.
Regarding the collaborative approach, the main limitation concerns the clustering strategy adopted to aggregate questions. On one hand, we want to reduce as much as possible the number of clusters such that we have a sufficiently high amount of feedback per cluster. This makes the proximity computation between users and the voted feedback vector robust.
On the other hand, the clustering may introduce additional noise by aggregating different and nonequivalent questions into the same cluster. This aspect may reduce the reliability of the voted feedback vector.
Finally, as mentioned in the previous sections, feedback data and q/a pairs used in this work come from real users traffic. For this reason, we only described the high-level approach of integrating feedback and we showed the impact on public benchmarks. A harsh limitation is caused by the private nature of the customer data, which cannot be released for public research."
14,"Our work explores a dimension of context understanding by Voice Assistants but it is only a small step. Firstly, we only consider 5 categories, while screens have a myriad of other texts and visual
content. We do not include image context into our reference understanding models. But users could use them when formulating references to texts near them. Using image captions or some pixels would improve coverage. Our system leverages entities extracted by upstream and hence is bounded by the performance of that. Also our model evaluates each entity separately while there may be benefit in considering the entire screen holistically."
15,"Our prescription digitization approach has a few limitations but is still effective for a broad enough application domain and permits future enhancements that address these limitations. First, our system uses an off-the-shelf text extraction tool (AWS Textract) that provides accurate extractions on printed prescriptions but has variable performance on hand written data depending on the legibility of the handwriting. In future, we plan to build a specialized extraction model trained to recognise medical practitioner’s handwriting to replace AWS TextExtract. Further, multiple components in our approach (e.g., attribute extraction) have been trained on primarily English transcriptions. Extension to other language prescriptions requires access to medical vocabulary and training data in those languages. Note that AWS Textract supports multiple languages and can be readily paired with an automated translator to convert the content to English. We did not consider this option since multilingual prescriptions in India tend to have mixed content with medications written in English itself. Lastly, the performance of multiple tasks such as advice block detection, medication attribute extraction and matching-canonicalization depends on the coverage of the available medical catalog."
16,"limitations this study has potential limitations. when the cwseg model is applied to a new domain, we assume that words and phrases solely related to the domain are available."
17,"limitations while we conducted extensive experiments and demonstrated the effectiveness of the suggested approach for controlled bandit learning in the context of the skill routing problem, there are multiple directions of improvement for future studies. we believe one of the limitations of the suggested constrained optimization framework is that it relies on expert-defined conditions on an arbitrary segmentation of samples. it entails the need for human intervention and manual constraint definition/optimization which can be challenging. another limitation we faced was during our experiments which showed additional compute overhead of between 2 to 3 times for different constrained optimization methods due to additional optimization objectives, inner loops, and backward passes."
18,"limitations we identify the following limitations in our work: first, our ftt framework captures and models topic-level temporal patterns for forecasting temporal trends. though the forecasts bring better temporal generalizability, ftt could hardly forecast the emergence of events in new topics. second, ftt considers temporal patterns based on the topic-wise frequency sequences to identify patterns such as decrease, periodicity, and approximate stationery. there might be diverse patterns that could not be reflected by frequency sequences. third, limited by the scarcity of the dataset that satisfies our evaluation requirements (consecutive time periods with a consistent data collection criterion), we only performed the experiments on a chinese text-only dataset. our method should be further examined on datasets of other languages and multi-modal ones."
